"Index","Close","High","Low"
1/2/2019 6:00,1426309.847,1250146.976751,1845943.044089
1/2/2019 6:15,1441519.437,1265710.30302,1750370.775061
1/2/2019 6:30,1461077.478,1290379.633741,1759532.941537
1/2/2019 6:45,1471872.41,1283401.42995,1769387.910807
1/2/2019 7:00,1484075.207,1294293.703886,1776074.350912
1/2/2019 7:15,1470060.855,1255657.279756,1668749.225324
1/2/2019 7:30,1488668.641,1282041.815229,1682082.191391
1/2/2019 7:45,1510274.959,1316497.023891,1707856.44676
1/2/2019 8:00,1534260.858,1337796.897274,1732153.763751
1/2/2019 8:15,1557375.781,1356507.599532,1712922.40702
1/2/2019 8:30,1571701.876,1389969.824144,1735020.530609
1/2/2019 8:45,1594801.507,1413993.990219,1754123.184748
1/2/2019 9:00,1615885.105,1431221.925935,1780451.135956
1/2/2019 9:15,1641204.527,1520575.703428,1791437.3058
1/2/2019 9:30,1656922.321,1524971.950925,1788184.636982
1/2/2019 9:45,1671461.12,1527439.508677,1790982.98165
1/2/2019 10:00,1686722.755,1543247.230448,1803027.053448
1/2/2019 10:15,1695935.381,1581025.687925,1811692.838177
1/2/2019 10:30,1701636.564,1591618.442199,1819151.528198
1/2/2019 10:45,1704097.032,1589485.136925,1821218.169661
1/2/2019 11:00,1707100.272,1592344.12294,1823572.648011
1/2/2019 11:15,1681915.711,1564929.224463,1799421.788683
1/2/2019 11:30,1687189.398,1566046.758229,1801764.017369
1/2/2019 11:45,1705335.843,1575178.77397,1818925.718788
1/2/2019 12:00,1713559.215,1574262.897975,1827750.764864
1/2/2019 12:15,1743775.533,1514815.257453,1852132.895638
1/2/2019 12:30,1765479.653,1517310.641711,1872826.65446
1/2/2019 12:45,1771248.271,1549192.185448,1880324.641577
1/2/2019 13:00,1760839.525,1526432.72296,1868388.113538
1/2/2019 13:15,1754407.156,1453937.841448,1867447.924374
1/2/2019 13:30,1739687.909,1420461.152229,1850516.31848
1/2/2019 13:45,1722353.213,1403245.769194,1836579.873155
1/2/2019 14:00,1711178.133,1388865.017473,1824323.391828
1/2/2019 14:15,1704370.951,1383889.882697,1818575.711111
1/2/2019 14:30,1695490.289,1374760.345448,1809903.305692
1/2/2019 14:45,1690973.661,1362993.07195,1808912.256225
1/2/2019 15:00,1683821.627,1354332.079706,1805108.188259
1/2/2019 15:15,1687033.849,1377699.275453,1805022.218645
1/2/2019 15:30,1686385.326,1383234.492189,1803170.604378
1/2/2019 15:45,1690496.377,1393311.839204,1807882.515197
1/2/2019 16:00,1696525.499,1396524.85295,1817312.260079
1/2/2019 16:15,1720512.346,1459367.646721,1866438.035758
1/2/2019 16:30,1741533.209,1487195.820473,1888882.881487
1/2/2019 16:45,1770027.49,1493254.506945,1904762.930047
1/2/2019 17:00,1809877.897,1579271.119925,1948951.971612
1/2/2019 17:15,1843373.001,1909614.895244,1961878.174799
1/2/2019 17:30,1878281.142,1967928.98196,1998990.585305
1/2/2019 17:45,1901350.823,2013926.890428,2021607.134837
1/2/2019 18:00,1922204.528,2053002.286945,2043055.2969
1/2/2019 18:15,1919005.411,2119397.175945,2042769.905074
1/2/2019 18:30,1916763.86,2140835.718438,2046337.155784
1/2/2019 18:45,1906785.987,2139199.331204,2031932.608696
1/2/2019 19:00,1896291.215,2139541.696692,2021470.053977
1/2/2019 19:15,1893832.509,2161823.719428,2023600.856016
1/2/2019 19:30,1872720.533,2146551.460692,2001428.102747
1/2/2019 19:45,1848912.681,2132510.89999,1975983.612097
1/2/2019 20:00,1825019.674,2061728.67194,1952722.750697
1/2/2019 20:15,1816571.166,1793924.487692,1948353.555777
1/2/2019 20:30,1790699.825,1726422.894711,1919637.899518
1/2/2019 20:45,1768518.353,1714834.234189,1897462.839807
1/2/2019 21:00,1748318.106,1671865.653975,1871911.479016
1/2/2019 21:15,1742664.804,1458790.492438,1865293.615309
1/2/2019 21:30,1731607.303,1425136.10993,1856591.404281
1/2/2019 21:45,1720330.651,1418353.945189,1842292.727771
1/2/2019 22:00,1698777.73,1395060.633771,1820047.474583
1/2/2019 22:15,1736568.311,1354539.658468,1867316.068804
1/2/2019 22:30,1745783.071,1350750.917448,1873065.741544
1/2/2019 22:45,1745109.612,1356860.783438,1867844.662496
1/2/2019 23:00,1720710.169,1343135.956706,1845958.180331
1/2/2019 23:15,1741051.847,1364759.236697,1895673.180031
1/2/2019 23:30,1719133.569,1355941.592701,1873861.079669
1/2/2019 23:45,1692964.008,1339909.248428,1848808.048053
1/3/2019 0:00,1666301.662,1328572.358692,1853110.926634
1/3/2019 0:15,1667291.324,1329180.145687,1953587.713922
1/3/2019 0:30,1647841.432,1317489.735194,1945371.804322
1/3/2019 0:45,1630234.038,1309777.232935,1924704.894705
1/3/2019 1:00,1607165.896,1278999.490985,1923913.336171
1/3/2019 1:15,1629310.131,1290544.584443,1960039.949772
1/3/2019 1:30,1614736.603,1275855.170438,1943870.761037
1/3/2019 1:45,1604955.482,1270328.483428,1946496.107643
1/3/2019 2:00,1584901.804,1254297.125488,1924778.497903
1/3/2019 2:15,1612475.426,1264092.504189,1963119.489806
1/3/2019 2:30,1587287.88,1253638.63894,1945523.401845
1/3/2019 2:45,1578440.03,1250578.201438,1939702.716619
1/3/2019 3:00,1556432.912,1247128.417259,1929078.799552
1/3/2019 3:15,1588164.022,1254118.787433,1970506.568274
1/3/2019 3:30,1572324.179,1243593.77593,1955045.778721
1/3/2019 3:45,1548251.9,1244926.724209,1956847.654107
1/3/2019 4:00,1528168.553,1230621.780886,1940281.01485
1/3/2019 4:15,1542983.794,1283817.078448,1886483.987861
1/3/2019 4:30,1533604.66,1283905.74592,1871781.902103
1/3/2019 4:45,1530296.483,1280335.761184,1870262.75658
1/3/2019 5:00,1532042.627,1273842.209945,1871281.337788
1/3/2019 5:15,1576666.635,1246213.383433,1916757.604826
1/3/2019 5:30,1597970.548,1247894.351194,1934448.678556
1/3/2019 5:45,1623802.905,1265245.932199,1954051.859978
1/3/2019 6:00,1650446.821,1285339.902955,1969356.094068
1/3/2019 6:15,1677948.894,1284724.51491,1819737.745029
1/3/2019 6:30,1705605.454,1302098.605104,1837729.407602
1/3/2019 6:45,1735246.338,1342905.491697,1868068.32059
1/3/2019 7:00,1775042.691,1389326.678438,1910521.762324
1/3/2019 7:15,1796886.066,1704814.530776,1923707.842442
1/3/2019 7:30,1841306.782,1785799.532383,1955918.368186
1/3/2019 7:45,1866670.605,1807912.439935,1980358.820019
1/3/2019 8:00,1902419.796,1838345.350682,2014767.58025
1/3/2019 8:15,1926459.243,1919783.48,2046314.045184
1/3/2019 8:30,1957925.571,1943087.703199,2084666.492328
1/3/2019 8:45,1968934.169,1952078.20593,2092772.441945
1/3/2019 9:00,1986103.108,1982438.46293,2113413.77588
1/3/2019 9:15,1989820.117,2200811.909637,2108858.878423
1/3/2019 9:30,2013716.317,2238015.536965,2133785.174815
1/3/2019 9:45,2019251.338,2247455.556766,2138071.409771
1/3/2019 10:00,2020496.497,2252552.729025,2142494.936824
1/3/2019 10:15,2020356.399,2252810.32901,2138396.721792
1/3/2019 10:30,2022863.352,2259590.252781,2140033.040263
1/3/2019 10:45,2010656.187,2263644.08704,2126519.224366
1/3/2019 11:00,2014785.105,2238623.189975,2131838.625647
1/3/2019 11:15,1953162.386,1911724.518657,2069002.953234
1/3/2019 11:30,1966320.943,1892421.502189,2082776.507442
1/3/2019 11:45,1969637.808,1895890.365189,2086690.235906
1/3/2019 12:00,1974369.942,1887969.986428,2088556.934518
1/3/2019 12:15,1977225.377,1756715.756189,2090434.496718
1/3/2019 12:30,1986969.834,1740315.019692,2094838.142031
1/3/2019 12:45,1980228.102,1756487.511184,2087889.721532
1/3/2019 13:00,1961319.568,1755903.452065,2064613.874056
1/3/2019 13:15,1969804.424,1800686.234975,2076499.733069
1/3/2019 13:30,1963507.762,1794230.778567,2072204.689386
1/3/2019 13:45,1939733.28,1782355.975955,2045352.608492
1/3/2019 14:00,1942431.704,1782440.397965,2050875.337326
1/3/2019 14:15,1925254.057,1759075.828035,2032504.038957
1/3/2019 14:30,1912097.558,1744228.862025,2018801.747119
1/3/2019 14:45,1915596.35,1738944.735055,2020860.278095
1/3/2019 15:00,1909330.606,1730185.611771,2015881.368707
1/3/2019 15:15,1919392.549,1807121.294687,2024623.410586
1/3/2019 15:30,1921808.113,1813798.288438,2025055.074854
1/3/2019 15:45,1921212.976,1813094.725677,2031551.894621
1/3/2019 16:00,1927818.1,1827089.959438,2035636.888784
1/3/2019 16:15,1928694.83,1898703.33495,2036721.517582
1/3/2019 16:30,1956636.871,1936180.767423,2066781.328001
1/3/2019 16:45,1977471.464,1950489.602692,2088165.740033
1/3/2019 17:00,2011106.791,2036810.614433,2119596.928765
1/3/2019 17:15,2040501.689,2416462.219692,2152064.539595
1/3/2019 17:30,2073513.916,2508194.978189,2188989.559601
1/3/2019 17:45,2099116.244,2540911.731433,2215199.592341
1/3/2019 18:00,2122597.213,2586634.385687,2239809.701113
1/3/2019 18:15,2113202.183,2562910.346488,2233992.95358
1/3/2019 18:30,2103831.19,2566478.566189,2223859.106743
1/3/2019 18:45,2106008.085,2568371.683682,2229497.40013
1/3/2019 19:00,2089383.591,2546164.544438,2211030.932873
1/3/2019 19:15,2067741.686,2364491.982682,2192302.072835
1/3/2019 19:30,2053617.748,2338015.671189,2177636.440319
1/3/2019 19:45,2028066.889,2323298.395204,2149590.148719
1/3/2019 20:00,1988336.137,2244509.558483,2109593.933262
1/3/2019 20:15,1979614.419,2040118.057935,2112170.56207
1/3/2019 20:30,1954601.519,1981748.074209,2086637.379967
