"Index","Close"
1/1/2019 0:15,1348752.223313
1/1/2019 0:30,1334607.936189
1/1/2019 0:45,1311103.041781
1/1/2019 1:00,1285616.494498
1/1/2019 1:15,1314518.198751
1/1/2019 1:30,1293978.34806
1/1/2019 1:45,1293898.940965
1/1/2019 2:00,1257498.295358
1/1/2019 2:15,1305593.769955
1/1/2019 2:30,1277925.768249
1/1/2019 2:45,1266893.908428
1/1/2019 3:00,1244454.900741
1/1/2019 3:15,1271094.025697
1/1/2019 3:30,1279211.858204
1/1/2019 3:45,1256252.943816
1/1/2019 4:00,1237991.100537
1/1/2019 4:15,1267680.371881
1/1/2019 4:30,1268384.590418
1/1/2019 4:45,1255604.55493
1/1/2019 5:00,1247031.892746
1/1/2019 5:15,1237611.736164
1/1/2019 5:30,1212843.747562
1/1/2019 5:45,1221867.188328
1/1/2019 6:00,1226412.918801
1/1/2019 6:15,1226790.830483
1/1/2019 6:30,1231566.149896
1/1/2019 6:45,1230139.817164
1/1/2019 7:00,1238405.666507
1/1/2019 7:15,1245807.717378
1/1/2019 7:30,1233676.92195
1/1/2019 7:45,1236914.19193
1/1/2019 8:00,1253240.485299
1/1/2019 8:15,1269638.331502
1/1/2019 8:30,1272949.376184
1/1/2019 8:45,1272762.18806
1/1/2019 9:00,1261936.556975
1/1/2019 9:15,1280803.848682
1/1/2019 9:30,1284594.806184
1/1/2019 9:45,1291129.211677
1/1/2019 10:00,1299046.379443
1/1/2019 10:15,1290898.592697
1/1/2019 10:30,1287819.212438
1/1/2019 10:45,1288862.058925
1/1/2019 11:00,1295213.188915
1/1/2019 11:15,1300557.830438
1/1/2019 11:30,1303485.569438
1/1/2019 11:45,1308733.448179
1/1/2019 12:00,1315081.708179
1/1/2019 12:15,1308590.888443
1/1/2019 12:30,1333489.886667
1/1/2019 12:45,1342826.676438
1/1/2019 13:00,1334817.662189
1/1/2019 13:15,1331780.640438
1/1/2019 13:30,1325215.976925
1/1/2019 13:45,1324635.055687
1/1/2019 14:00,1317982.468687
1/1/2019 14:15,1307224.488433
1/1/2019 14:30,1299851.079682
1/1/2019 14:45,1292557.959179
1/1/2019 15:00,1293434.901189
1/1/2019 15:15,1282186.88893
