"Index","Close"
1/1/2019 0:15,1806899.200583
1/1/2019 0:30,1776317.661959
1/1/2019 0:45,1765328.007695
1/1/2019 1:00,1753106.578074
1/1/2019 1:15,1833444.302375
1/1/2019 1:30,1822174.191161
1/1/2019 1:45,1805871.083725
1/1/2019 2:00,1789519.888524
1/1/2019 2:15,1891202.953112
1/1/2019 2:30,1864466.407348
1/1/2019 2:45,1855054.894057
1/1/2019 3:00,1839171.050478
1/1/2019 3:15,1851797.323787
1/1/2019 3:30,1851679.037364
1/1/2019 3:45,1833530.537651
1/1/2019 4:00,1822343.7412
1/1/2019 4:15,1832221.452732
1/1/2019 4:30,1819475.783865
1/1/2019 4:45,1805218.569738
1/1/2019 5:00,1792674.705745
1/1/2019 5:15,1804252.870091
1/1/2019 5:30,1802871.159799
1/1/2019 5:45,1813989.583105
1/1/2019 6:00,1816082.014597
1/1/2019 6:15,1808424.489534
1/1/2019 6:30,1808480.284956
1/1/2019 6:45,1805946.429318
1/1/2019 7:00,1801392.409669
1/1/2019 7:15,1774553.602039
1/1/2019 7:30,1788370.71029
1/1/2019 7:45,1792982.345727
1/1/2019 8:00,1808259.892259
1/1/2019 8:15,1786228.062722
1/1/2019 8:30,1788009.888578
1/1/2019 8:45,1795724.097748
1/1/2019 9:00,1819295.105249
1/1/2019 9:15,1821171.372648
1/1/2019 9:30,1833019.59184
1/1/2019 9:45,1845982.909505
1/1/2019 10:00,1858336.344579
1/1/2019 10:15,1860554.327529
1/1/2019 10:30,1865335.047573
1/1/2019 10:45,1863088.165178
1/1/2019 11:00,1867526.253872
1/1/2019 11:15,1858517.220463
1/1/2019 11:30,1855247.129124
1/1/2019 11:45,1861586.105633
1/1/2019 12:00,1870012.796544
1/1/2019 12:15,1896013.957534
1/1/2019 12:30,1939714.280096
1/1/2019 12:45,1951804.92449
1/1/2019 13:00,1944914.751971
1/1/2019 13:15,1952842.272916
1/1/2019 13:30,1956186.566527
1/1/2019 13:45,1947299.536278
1/1/2019 14:00,1942133.131657
1/1/2019 14:15,1928771.493935
1/1/2019 14:30,1915092.087666
1/1/2019 14:45,1915450.448923
1/1/2019 15:00,1914569.878724
1/1/2019 15:15,1896428.251186
1/1/2019 15:30,1895293.392816
1/1/2019 15:45,1900923.785421
1/1/2019 16:00,1898278.7319
1/1/2019 16:15,1886091.027185
1/1/2019 16:30,1896862.730986
1/1/2019 16:45,1909114.569218
1/1/2019 17:00,1940212.431545
1/1/2019 17:15,1835074.244519
1/1/2019 17:30,1819095.798775
1/1/2019 17:45,1834880.383845
1/1/2019 18:00,1855785.898512
1/1/2019 18:15,1867723.49824
1/1/2019 18:30,1870078.825197
1/1/2019 18:45,1864608.502492
1/1/2019 19:00,1849495.814352
1/1/2019 19:15,1807041.276406
1/1/2019 19:30,1789202.264248
1/1/2019 19:45,1768502.429777
1/1/2019 20:00,1745102.498588
1/1/2019 20:15,1787528.820111
1/1/2019 20:30,1790725.025921
1/1/2019 20:45,1766407.574776
